Title,,Review Date,Review Text
A Third Class Movie,nmtpaite,4-May-17,"GuysThis is nothing but a Glorified TV Series.The movie has no logic except loud screams, continuous Intros, Stupid Songs, Pathetic hairy actors and cartoonish VFX.Its like those movies in Telugu where the hero kills goons with banana, but with a serious note.Go watch this third class movie and have fun."
Very predictable.. Not worth the hype,oh_stranger_oh,28-Apr-17,"To be frank, I was not so keen to watch the movie on the first day, but as my friends' comments and reviews were pouring in, I decided to catch the matinée show today, the first day.And as I have anticipated, the movie is not up to the mark, at least surely not as much as it flashed all around.There are good movies, there are great movies. But good movies hyped as great movies actually always fall short of expectations and become average movies, that's what exactly happened here.The movie started with the stories of flashback, we see Bahubali moving out of Mahismati with Katappa, ending up finding his lady love, as usual romance, entering Bhallaldev and playing all dirty politics to keep his step brother away from the throne. Big brother happily left his deserving throne and marry his lady love, then more conspiracy by the jealous brother who's now the king and at last successful killing Bahubali and prison his wife. From here it's the continuation of the first part.Acting is good, at least by all the central characters, especially Sathyaraj who had the lion's share of screen presence. Anushka and Prabhas did a good job. Rana stood out though had limited opportunities. Actually, He was the only one who looked authentic.Now the biggest part of the movie, ""Why Katappa killed Bahubali?"", we movie goers who can analyze stories have figured it out long back, right after the first part. Hint: The same reason why Bhishma though fond of Pandavas and supported them, fought against them. There was no surprise at all actually.We have seen many such movies, An honest upright warrior, and prince about to be the king, a badass villain who's also his brother conspire against him and get him killed. Then his son comes back for a revenge. A very clichéd effort.The graphics are so so, though I am not very convinced. The movie almost looks like an animation movie. I really felt director should have concentrated on the story more, at least there should be some twists and turns, there could be breakout villain. but it was very plain and simple.In the end in a lighter note, there's a hidden lesson for married men. It shows what happens when you let your mom and wife gets into a fight and you end up supporting your wife, but then, if support your mom you are a Momma's boy and if you support your wife you are a wife's puppet. Horn of Dilemma of course.... :D :DConclusion: One-time watch as per me."
As lame as the first one,ninadmauskar,1-May-17,"This movie is as lame as the first movie. I am also disappointed that the audience liked this movie - just goes to show anything works.The plot is weak, predictable, and similar to any South Indian movie where the protagonist goes through hardships, someone gets murdered, and someone seeks revenge. Too many South Indian melodramatic movies have the same story line. Key disappointments are as follows:1. Tamanna Bhatia has 0 dialogues 2. Tamanna Bhatia's story has no reference in the movie. The role of the revel group is unclear 3. Katappa is shown as powerful, but his personality, figure, persona, and body language is quite the contrary, as in, weak, feeble, emotional, and helpless. 4. Action sequences are ridiculous. The most disappointing and also the funniest part of the movie, particularly how soldiers are propelled into the kingdom using cocunut trees. 5. Ramaya's, the queen mother's performance is too melodramatic. A queen should be shown as strong, political, and powerful. Ramaya is shown as a melodramatic woman with extrapolate daughter expressions. 6. Protagonist looks weak as compared to the antagonist. I was rooting for the antagonist. 7. The plot is weak, there is nothing new. 8. Why dis the Adivasi army attack the kingdom in part 1 is never discussed / described. I thought the war in part 1 was totally random. 9. What happened to the love story between young Bahubali and Tamanna Bhatia? 10. Last 15-20 mins seemed like a ""wrap up"" job, where the director wanted to finish and wind up real quick.Overall, I recommend not spending any money for watching this movie in the theatres. Watch it at home on one of the streaming websites. Generally very disappointing, but I am glad that it got over."
RIP Physics and Gravity,ddpower,8-May-17,"Ahh finally got to watch, the so-called most anticipated magnum opus by SS Rajamouli. To all the people who claim about the VFX, I am amazed, which visual effects were convincing? The way Bahubali landed like a polystyrene sheet or the palaces and all those unacceptable architecture, the plaster-of-Paris elephants and horses. The action sequences were extreme even from mythological or fantasy point of view. Talking about physics, An apple fell on Newton's head and he asked why?- That's how gravity came to us. SS Rajmauli saw a coconut tree and asked why? When we look at the script almost 80% of the script is trivial, the first half is intolerable especially Prabhas' performance. The reason Kattappa killed Bahubali was acceptable, on the other end nothing else was. Talking about their performance, Rana Daggubati pulled a good role, all the others overacted at some point of time, this includes Prabhas, Satyaraj, Anushka Shetty, Ramya Krishnan etc. Tammannah was barely seen or she would have ruined it more. Over-all a below average movie with a heavy unbearable budget and an unbelievable box office collection."
Its more of an extended jewelry advertisement.,sheshamaro,5-May-17,"Its more of an jewelry advertisement, was so horrible and everyone trips and falls allowing the hero to either come up with a plan or to showcase his CGI/ VFX talents.The effects were overused, i could see shades of movie 300, Lord of the rings, Brave heart and few other scenes being copied. its a shame we still do it, even for a movie of this hype.It felt like, i was held up in a cardboard box surrounded by gold, diamonds and Jewelry.Am done getting up my hopes on this kinda Cinema."
An Epic Conclusion To The Celebrated War Drama,afsalthodupuzha,29-Apr-17,"'Baahubali - The Beginning' released back in 2015 was a 'Pan-Indian Blockbuster' that raised the standards of technical brilliance of Indian films with stellar war sequences and awe-inspiring art- direction ,making its Bollywood counter- parts a run for their money.To make a sequel (techncially speaking a prequel) that matches the grandeur and brilliance of the magnum opus 'Baahubali' might look irrealizable,but not for a master craftsman like S.S.Rajamouli who has come up with a stunning piece of cinema that lives upto the hype in all means and even outshines the original as far as the depth of the story-line and a smooth narrative is concerned.The well-made sequel is without doubt a better movie altogether with a thoroughly convincing and hearty story- line that engages the viewers by inviting them to be a part of the Mahishmati kingdom for its run time of 168 minutes.A more befitting finale to this epic is doubtful and the first half by itself makes it a paisa- vasool affair for the normal movie going audience.The love-track between Tammana and Prabhas was a let-back in the first part and the best a thing about the conclusion is that it takes care of leaving aside such avoidable sub plots and tries to concentrate in the inner conflicts and emotions of the lead characters making it a hearty affair for the viewers.The first half of the movie was first-rate in this matter and more entertaining on comparison with nevertheless a very good second half.The way K. V. Vijayendra Prasad handled the answer to the million dollar question ""Why Kattappa Killed Baahubali?"" was brilliant and the overflow of emotions surrounding that question was a delight to watch and made remarkable by brilliant lead performances.The courtroom sequences and the particular arrow fight sequence were exceptional and the highlight of the narrative.A notable lame-point of the movie was the patchy graphics in few sequences which is too sub-standard considering the mammoth budget of the presentation.The climax portions were good,but not as riveting as the rest of the narrative.The audience response was enormous for critical sequences and the cheers and whistles ensure that the movie is going to make it big with its impressive 'WOM' among the families and the youth alike.The absence of a breath-taking war sequence like the 'Kalaleya fight' in the first part didn't make any impact,thanks to the brilliant penning of story-line by K.V.Vijayendra Prasad.Prabhas gave a convincing performance as both Amarendra Bahubali and Mahendra Baahubali with required zeal and intensity that the characters demanded.Anushka was a delight to watch and stamped her authority as a lady action superstar in Indian cinema.Remya Krishnan's act was powerful.Rana Daggubati was good and gave a better performance on comparison with his act in the first.Nasser played his part well.Sathyaraj was lovable and excelled in both comic and emotional sequences.Songs and background score by M.M.Keeravani were effective and elevated the atmosphere of the narration.All the songs qualify for repeated hearing with the picks being 'Dandaalayya','Oka Praanam' and 'Hamsa Naava'.Cinematography by K. K. Senthil Kumar was top notch and managed to capture the visual grandeur of the movie.Art direction part was handled well by Sabu Cyril.Editing by Kotagiri Venkateswara Rao was good.Overall,Baahubali -The Conclusion' is a stunning visual extravaganza,a must watch cinematic experience from preferably the best theater in your locality.Take a Bow,SS Rajmouli ! __/\__"
typical masala trash,rohitarora-mit,30-May-17,"I don't come to write reviews here ever but had to write one for this garbage for sure. Now I, for one, liked the first part. Not because of its VFX, not at all, but because of the storytelling. The VFX of the first movie were definitely over-hyped and were maybe better than your typical bollywood crap but nowhere in the league of an average Hollywood movie. I think they were worse than that of Magadheera for that matter. But I still loved the movie because I felt there was a wonderful story waiting to be discovered in this entire series and it was being told in a very nice way, innovative for an Indian movie.Coming to the second part now. It's utter nonsense. Here, I said it. VFX are a huge step down from the first movie and there are a lot of scenes, where you can tell that the set or the fight is absolutely fake. But as I said, I don't judge Indian movies purely on VFX ever because I know that our budget can not match that of Hollywood. The biggest disappointment for me was the storyline, or the lack of it, and the way it was told.The first half had almost no story development. It was filled with the same old overused cheap gimmicks that have been done in like a hundred Indian movies. Hero is champ but he acts like a dumb person and ends up wooing heroine. Crap. Highly predictable. The director turned Katappa, one of the biggest shines of the first movie for me, into a joker just to appease the mass.Now, I didn't have any great interest in why Katappa killed Bahubali. I think everyone had this clue that it had to have happened on the orders of Sivagami, and so it was also obvious that she must have been duped by her husband and son, still, the curiosity was to know how. And boy did that disappoint!! I don't know how anyone can take that thread of a storyline and fast as the wind of a story development, for an answer to the question that had become the centre of interest of millions of people in last two- three years. It was pure nonsense. In an era when we have Game of Thrones to understand the depth of politics that kings and warriors can connive, this thing felt like coming right out of an early 90s' Indian movie. And people are satisfied with it???It just dampens my belief in our people's ability to think. We just accept any half-baked poorly conceived idea for a plot. And it is that because of which our writers don't take the pain to think deeply over the plot lines.Deeply disappointed by the movie. I had high hopes but I should have known better. Unfortunately, the type of hype this movie has received is going to spoil Indian cinema's image everywhere. People all over the world won't come to know that we are also capable of making Drishyam; they would remember us with Bahubali 2."
Nice Beginning but Excellent Conclusion,puranjan163,28-Apr-17,"Finally the wait for two long years is over and why kattapa killed baahubali is known; but this epic movie is much more than that. In the first half of the movie will begin in a regular pattern and towards the interval as the movie will proceed, things will start to heat up. In the second half everything is there for which you pay your bucks to see a movie. Except two or three scenes of exaggerated physics defying effects, the entire movie is packed with the best visual effects and action sequences Indian movies have ever seen. The songs are not that appealing but okay. Overall the movie is worth the wait and anticipation. So don't just wait reading my or another reviews, just be the part of this epic and see how Indian movies have gone to a whole new level. I am gonna watch this movie a few times more (still in the euphoria)."
Historic! Best Ever Magnum Opus and Commercial Film in The History of Indian Cinema,SAMTHEBESTEST,28-Apr-17,"BAHUBALI : THE CONCLUSION REVIEW - A film which has taken Audience anticipation to next level finally released today and how can i miss FDFS? No way, Prequel released 22 months ago and everyone is waiting for the film since then and Film actually Worths that wait. Bahubali2 sets an Example for every Filmmaker in India that how to make a Complete Commercial film for all kind of audience. Almost all Highest grossing Indian films had quality and that quality was converted into commercial success but Bahubali does not have Quality, instead It Is The Best Commercial Film in The History Of Indian Cinema. Let me Elaborate.Acting- Acting field does not offer anything as characters got nothing to do as an Actor but their Style, Attitude and Passion is Perfect.Writing - Story also does not offer anything new, but you will get a satisfying answer to why Katappa killed Baahubali.Screenplay - Outstanding. It offers every upcoming ordinary scene in Extraordinary Fashion. Completely gripped First half with Full dose of Entertainment. Comedy, Action, Claps, Whistles, Goosebumps everything is there. Second half is story oriented and takes pace in last 1 hour.Music- Music is Dull, don't know why they added songs in this Film? Completely Useless, perhaps the only time when you can leave your seats for a while. But Background score is Brilliant, it is used only in important scenes and it leaves you with Jitters.Cinematography -Cinematography is of a whole New level, can't imagine this kind of Excellent camera work.Visual Effects - It's a visual treat to watch Grand and eye pleasing locations and War scenes. Surely gonna swap all awards for VFX.Direction - After watching Bahubali 1 and 2, i hereby declare SS Rajamouli ""The Best Commercial Director In India."" What a Vision and what an Execution, it is something that's beyond imagination of every good director in India. Some typical south flavor massy scenes are there but forgettable because of many never seen before scenes. Let's take a moment and Appreciate Rajamouli sir for making best ever Historic and Epic Commercial films in the Indian cinema History. After this Film i'm excited what's his Next? I mean just can't stop thinking about his Direction Skills.Final Words - Overall Bahubali The Conclusion is a MUST WATCH film for Every Indian Who always complaints that our industry can't make Magnum Opus films like Hollywood. This films worth double, triple of whatever your ticket rate is. This film will have highest Repeat Value in this 21st Century. I didn't like Bahubali1 that much still it became Highest Grossing Indian Film, so at Box Office Bahubali2 has no Limits. Just Go for it and enjoy this Historic film, once, twice, thrice or more times. Commercially 10/10, critically 6/10 so i'm going with 8/10* to balance it."
Baahubali 2 disappointed,sanakhan-91137,29-Apr-17,Baahubali 2 is a OK movie. Disappointed with the movie. 1st part is far better than Baahubali 2. Action in the movie is not good its like we are watching a cartoon on some of part in the movie specially in the End war. We wait for the Baahubali 2 but its disappointed because the expectation was very high after part 1. 5 out of 10.
Expectations soiled,vinodemails,1-May-17,"Yes, the movie cannot be skipped, as the first part and the twist question at the end ensure we all will flock to the theatres. So, I'll dwelve rather on what one expected from the movie and what one got.Exp -Magnum opus with brilliant VFX Act - Brilliant VFX indeed with Kingdom, Dream sequences and war scenes portrayed effectively to border disbeliefExp - Enhancing the character of Bahubali n son, Devsana, Bhallaldev, Sivagami and Kattappa with brilliant one- liners. Act - Characters watered down with very few one-liners to keep the audience hooked. Sivagami's fierceness gets lost, Kattappa's loyalty questioned, Bhallaldev's might becomes more brain than brawn and worst, even Bahubali ends up wasting his arm strength and skillsExp- A nuanced script where politics and drama get overshadowed by pure heroics and camera following lead character all the time. Act- A muddled script reminiscent of good old Mahabharat serial of schemes and sub- schemes where Bahubali keeps losing without any retributionExp - Music which would create awe and timed beautifully to take the movie forward. Act - BGM remains good enough, but the songs didn't deliver, especially the romantic number between Devsana and Bahubali on which a good share of budget gets wastedExp - Last but not the least, an epic climax and final war, which would go on for an hour and where Sivadu finally manages to kill Bhallaldev against all odds Act - Kind of anti climax, which feels edited too much and put together fast enough to ensure reasonable running time and enough shows to hit Rs. 500 Crs collection in a weekAll in all, somewhere the commercials seem to have overtaken the story, melodrama overshadowing an epic in making and VFX substituting genuine acting.Independently, keeping aside the expectations, the film has been done well, with good BGM, main characters building up muscles, graphics team putting a lot of efforts and the costumes team doing well too. The love story between Bahubali and Devsana develops like a typical Bollywood potboiler with fake acting and a caricature wannabe boyfriend in the middle; finally blooming to a romance with a dream sequence in clouds on a flying ship. Anushka shetty as Devasena, to her credit delivers a wonderful performance as the young devasana with strong dialogues and attitude.However, as the 'Conclusion' ends and a dialogue giving a hint of another sequel pours out, the excitement of crowd is nowhere to be seen. But for those times where you have open mouth stared and cheered for our hero when he nonchalantly massacred people, conquered animals and even challenged nature, 'Jai Mahishmati'."
Hilarious piece of Junk,ajay-bellubbi14,22-May-17,"If this the best epic Indian movie industry can dish out, its time to contemplate where its headed. Sure. It's a huge project. The sets are great. The graphics/CGI are OK at most parts. The portrayal of animals though(Elephants, horses, bullocks etc) is cartoonish. Heck, even the trees and the leaves falling at some scenes seem artificial. Gladiator, which was released more than 10 years ago has better CGI. The story-line itself isn't so great. Most of it is taken out of Mahabharata. If you are looking for cringe moments, you got plenty. From soldiers flying around by a swing of a sword, the male chauvinistic attitudes (My favorite being appeasing angry mom/mom-in-law by giving her a grandson), the Southern flavored romance between Prabhas and Anushka with a comic sidekick used as a ploy and the best of all: elastic coconut trees slinging soldiers into the castle and they bouncing off their shields unhurt. You name it, you got it. The only saving grace in the move is Anushka Shetty. All in All, this movie is a bad advertisement to Indian cinema. This is the highest grosser of Indian Cinema of which I'm also one of the guilty contributors. I really feel ashamed now."
one can sleep after while,wathareprasanna,5-May-17,VFX are not up to the mark. Nothing is new. Typical Indian story. I would prefer cartoon movie over this movie. Please Indians don't waste your money on such cartoon. Some scenes are meaningless and some do not have to do anything with story line. By the way good for kids. One can sleep after while but music is quite good
A bad movie hyped up as a great movie,kalyan-kancherla,5-Jun-17,"I really liked baahubali the beginning. Though it was not great,it was a good movie. Now the second part came with so much hype that it was a one in a lifetime experience kind of a movie.Let me start out by saying this movie is so far fetched from what the ratings say about this movie. Everything about the movie is over the top. Direction, acting, overpowering music, over use of vfx. It seemed like the director wanted to show that they threw a lot of money into every scene to make it look good. Good looks do not make a good movie. There are many illogical and unrealistic scenes that come at regular intervals that make the movie look bad. The vfx were so overused and were used at locations that did not even need them.In short, the first half had silly comedy and the tempo gets better towards the interval. Second half of the movie starts out good with the story but very predictable as it progresses.Overall Rajamouli might have increased the scale of imagination and money making with baahubali for telugu movies but he has a lot to learn about filmmaking from legendary directors like KV. Reddy, K. Kameshwara Rao,C. Pullayya, Vittalacharya who made great movies of this genre with limited budget and no graphics."
I enjoyed this movie,MrHeraclius,23-Feb-20,"Baahubali 2: The Conclusion is not quite as good as its predecessor with a somewhat weak storyline, but the film is visually dazzling to behold with great costumes, interiors and phenomenal set pieces and special effects. Colorful and exciting, it is also exhilarating, though silly in its action and it thus succeeds as a pretty good conclusion to this story. But above all else, both of these films are very enjoyable as they are incredibly epic in scope and world building and in that aspect are much better than most American blockbusters."
Baahubali 2: The Conclusion (2017),santhosh-10290,1-Jan-18,The movie was fantastic. Everyone acted very well in the movie. VFX and Graphics in the movie was amazing. Songs and BGM in the movie was superb. Amazing movie.
